epoch,ROC,PR,ACC,SPE,SEN,PPV,NPV,F1
30.0000,0.9461,0.9338,0.8548,0.8846,0.8171,0.8481,0.8598,0.8323
29.0000,0.9429,0.9265,0.8656,0.8558,0.8780,0.8276,0.8990,0.8521
28.0000,0.9368,0.9310,0.8387,0.7885,0.9024,0.7708,0.9111,0.8315
27.0000,0.9612,0.9493,0.8548,0.9712,0.7073,0.9508,0.8080,0.8112
26.0000,0.9431,0.9157,0.8763,0.9135,0.8293,0.8831,0.8716,0.8553
25.0000,0.9431,0.9203,0.8656,0.7981,0.9512,0.7879,0.9540,0.8619
24.0000,0.9431,0.9221,0.8656,0.8750,0.8537,0.8434,0.8835,0.8485
23.0000,0.9348,0.9213,0.8495,0.9615,0.7073,0.9355,0.8065,0.8056
22.0000,0.9295,0.9018,0.8656,0.8462,0.8902,0.8202,0.9072,0.8538
21.0000,0.9194,0.9073,0.8495,0.9135,0.7683,0.8750,0.8333,0.8182
20.0000,0.9311,0.9261,0.8656,0.8365,0.9024,0.8132,0.9158,0.8555
19.0000,0.9435,0.9388,0.8333,0.9712,0.6585,0.9474,0.7829,0.7770
18.0000,0.9430,0.9354,0.8710,0.9231,0.8049,0.8919,0.8571,0.8462
17.0000,0.9311,0.9188,0.8548,0.9038,0.7927,0.8667,0.8468,0.8280
16.0000,0.8946,0.8787,0.8011,0.8846,0.6951,0.8261,0.7863,0.7550
15.0000,0.8972,0.8790,0.8280,0.8558,0.7927,0.8125,0.8396,0.8025
14.0000,0.9235,0.9153,0.8495,0.8942,0.7927,0.8553,0.8455,0.8228
13.0000,0.9060,0.8783,0.7688,0.8942,0.6098,0.8197,0.7440,0.6993
12.0000,0.8983,0.8719,0.7957,0.7981,0.7927,0.7558,0.8300,0.7738
11.0000,0.8922,0.8702,0.7903,0.7308,0.8659,0.7172,0.8736,0.7845
10.0000,0.8731,0.8658,0.7473,0.9808,0.4512,0.9487,0.6939,0.6116
9.0000,0.9266,0.9095,0.7527,0.9712,0.4756,0.9286,0.7014,0.6290
8.0000,0.9260,0.9143,0.8280,0.7885,0.8780,0.7660,0.8913,0.8182
7.0000,0.8737,0.8375,0.6667,0.9712,0.2805,0.8846,0.6312,0.4259
6.0000,0.9004,0.8802,0.6882,0.9808,0.3171,0.9286,0.6456,0.4727
5.0000,0.8655,0.8427,0.7581,0.7692,0.7439,0.7176,0.7921,0.7305
4.0000,0.8749,0.8474,0.6774,0.9808,0.2927,0.9231,0.6375,0.4444
3.0000,0.8587,0.8287,0.7312,0.9135,0.5000,0.8200,0.6985,0.6212
2.0000,0.8228,0.7908,0.6935,0.9615,0.3537,0.8788,0.6536,0.5043
1.0000,0.7261,0.6846,0.6075,0.9808,0.1341,0.8462,0.5896,0.2316
