epoch,ROC,PR,ACC,SPE,SEN,PPV,NPV,F1
29.0000,0.9218,0.9230,0.8710,0.9423,0.7805,0.9143,0.8448,0.8421
28.0000,0.8973,0.8816,0.8118,0.7692,0.8659,0.7474,0.8791,0.8023
27.0000,0.9189,0.9145,0.8172,0.7404,0.9146,0.7353,0.9167,0.8152
26.0000,0.9260,0.9108,0.8763,0.8750,0.8780,0.8471,0.9010,0.8623
25.0000,0.9227,0.9117,0.8065,0.9712,0.5976,0.9423,0.7537,0.7313
24.0000,0.9284,0.9200,0.8978,0.9231,0.8659,0.8987,0.8972,0.8820
23.0000,0.9149,0.8995,0.8763,0.8558,0.9024,0.8315,0.9175,0.8655
22.0000,0.9027,0.8849,0.8387,0.9519,0.6951,0.9194,0.7984,0.7917
21.0000,0.9184,0.8833,0.8280,0.9615,0.6585,0.9310,0.7812,0.7714
20.0000,0.8999,0.8913,0.7849,0.9615,0.5610,0.9200,0.7353,0.6970
19.0000,0.9109,0.9036,0.8172,0.9615,0.6341,0.9286,0.7692,0.7536
18.0000,0.9040,0.8933,0.8280,0.8750,0.7683,0.8289,0.8273,0.7975
17.0000,0.9148,0.9075,0.7527,0.9808,0.4634,0.9500,0.6986,0.6230
16.0000,0.9140,0.9041,0.8226,0.9519,0.6585,0.9153,0.7795,0.7660
15.0000,0.9058,0.9002,0.8710,0.9135,0.8171,0.8816,0.8636,0.8481
14.0000,0.9130,0.9030,0.8656,0.9231,0.7927,0.8904,0.8496,0.8387
13.0000,0.8877,0.8748,0.8226,0.7981,0.8537,0.7692,0.8737,0.8092
12.0000,0.8804,0.8774,0.7742,0.9615,0.5366,0.9167,0.7246,0.6769
11.0000,0.8892,0.8798,0.7903,0.6923,0.9146,0.7009,0.9114,0.7937
10.0000,0.8678,0.8512,0.7849,0.7885,0.7805,0.7442,0.8200,0.7619
9.0000,0.8443,0.8120,0.6774,0.9904,0.2805,0.9583,0.6358,0.4340
8.0000,0.8620,0.8410,0.7849,0.9038,0.6341,0.8387,0.7581,0.7222
7.0000,0.8263,0.8085,0.7043,0.9712,0.3659,0.9091,0.6601,0.5217
6.0000,0.8376,0.8197,0.7312,0.9231,0.4878,0.8333,0.6957,0.6154
5.0000,0.7793,0.7606,0.7043,0.9423,0.4024,0.8462,0.6667,0.5455
4.0000,0.8370,0.8041,0.6505,0.9712,0.2439,0.8696,0.6196,0.3810
3.0000,0.8297,0.8036,0.6505,0.9808,0.2317,0.9048,0.6182,0.3689
2.0000,0.8017,0.7769,0.7366,0.8942,0.5366,0.8000,0.7099,0.6423
1.0000,0.7515,0.7361,0.6667,0.8942,0.3780,0.7381,0.6458,0.5000
0.0000,0.6929,0.6544,0.6613,0.8365,0.4390,0.6792,0.6541,0.5333
